"weekEnding,ne,enc,c,se,wnc,s,sw,nw,w,nat,neAnom,encAnom,cAnom,seAnom,wncAnom,sAnom,swAnom,nwAnom,wAnom,natAnom"
"20120107,26.80,26.77,36.25,44.64,32.46,46.82,39.86,35.51,46.81,38.50,4.90,12.97,7.15,-0.56,15.16,5.32,7.66,6.21,7.71,7.70"
"20120114,27.25,26.47,35.71,46.11,31.19,46.24,38.35,34.37,45.65,37.87,5.35,12.67,6.61,0.91,13.89,4.74,6.15,5.07,6.55,7.07"
"20120121,26.66,24.99,35.23,46.78,29.25,46.48,37.97,33.60,44.84,37.28,4.76,11.19,6.13,1.58,11.95,4.98,5.77,4.30,5.74,6.48"
"20120128,26.76,24.46,35.30,47.61,28.38,46.77,37.70,33.20,44.29,37.13,4.86,10.66,6.20,2.41,11.08,5.27,5.50,3.90,5.19,6.33"
"20120131,26.81,24.21,35.43,47.77,28.01,46.79,37.33,33.02,43.89,36.99,4.91,10.41,6.33,2.57,10.71,5.29,5.13,3.72,4.79,6.19"
"20120204,29.78,27.51,41.28,52.22,30.57,51.93,38.47,35.62,44.20,40.25,5.38,8.11,7.58,4.02,7.27,5.53,1.67,2.02,1.10,4.85"
"20120211,29.74,26.07,38.89,51.81,27.36,48.47,37.90,35.87,44.85,38.69,5.34,6.67,5.19,3.61,4.06,2.07,1.10,2.27,1.75,3.29"
"20120218,29.67,25.80,37.97,51.18,26.71,47.41,37.46,35.62,44.28,38.07,5.27,6.40,4.27,2.98,3.41,1.01,0.66,2.02,1.18,2.67"
"20120225,29.77,25.65,37.69,51.16,26.53,47.28,37.29,35.41,44.07,37.92,5.37,6.25,3.99,2.96,3.23,0.88,0.49,1.81,0.97,2.52"
"20120229,29.29,25.11,37.59,51.27,25.95,47.57,37.09,34.93,43.70,37.71,4.89,5.71,3.89,3.07,2.65,1.17,0.29,1.33,0.60,2.31"
"20120303,35.47,33.05,46.58,58.83,31.52,57.32,42.21,37.93,45.68,44.19,1.87,2.35,3.28,3.73,-0.98,3.02,-0.99,-1.67,-1.72,0.99"
"20120310,36.04,33.68,46.75,57.57,35.87,56.95,43.01,39.17,46.65,45.08,2.44,2.98,3.45,2.47,3.37,2.65,-0.19,-0.43,-0.75,1.88"
"20120317,37.94,36.97,49.22,58.69,38.52,58.41,44.34,39.47,47.22,46.79,4.34,6.27,5.92,3.59,6.02,4.11,1.14,-0.13,-0.18,3.59"
"20120324,39.93,39.73,51.21,59.78,39.81,59.04,44.68,39.35,47.19,47.81,6.33,9.03,7.91,4.68,7.31,4.74,1.48,-0.25,-0.21,4.61"
"20120331,40.54,40.92,52.24,60.37,40.63,59.63,45.18,39.38,47.22,48.42,6.94,10.22,8.94,5.27,8.13,5.33,1.98,-0.22,-0.18,5.22"
"20120407,45.95,53.29,61.92,68.23,50.77,69.57,51.93,41.42,48.76,56.30,1.25,9.29,8.72,6.43,7.47,7.57,1.73,-4.28,-3.94,4.50"
"20120414,45.96,51.17,59.36,66.26,49.46,68.91,52.24,42.97,49.19,55.55,1.26,7.17,6.16,4.46,6.16,6.91,2.04,-2.73,-3.51,3.75"
"20120421,47.02,50.03,58.58,65.85,48.61,68.14,52.36,43.80,50.23,55.30,2.32,6.03,5.38,4.05,5.31,6.14,2.16,-1.90,-2.47,3.50"
"20120428,46.98,49.18,57.83,65.31,48.42,67.75,52.79,44.59,51.11,55.20,2.28,5.18,4.63,3.51,5.12,5.75,2.59,-1.11,-1.59,3.40"
"20120430,46.91,49.10,58.01,65.45,48.23,67.81,52.88,44.48,51.28,55.22,2.21,5.10,4.81,3.65,4.93,5.81,2.68,-1.22,-1.42,3.42"
"20120505,57.19,60.31,70.19,74.95,56.32,76.88,63.10,50.02,61.10,64.63,1.29,3.91,7.39,5.55,2.32,6.68,3.90,-2.78,1.00,3.73"
"20120512,57.19,59.59,68.76,73.73,55.41,74.71,62.00,50.51,62.07,63.73,1.29,3.19,5.96,4.33,1.41,4.51,2.80,-2.29,1.97,2.83"
"20120519,57.52,59.79,68.10,73.11,55.85,73.88,61.95,51.49,62.62,63.67,1.62,3.39,5.30,3.71,1.85,3.68,2.75,-1.31,2.52,2.77"
"20120526,58.11,59.86,67.91,72.82,55.75,73.66,62.03,51.68,62.60,63.63,2.21,3.46,5.11,3.42,1.75,3.46,2.83,-1.12,2.50,2.73"
"20120531,57.96,59.20,67.22,72.42,55.29,73.23,61.62,51.89,62.28,63.23,2.06,2.80,4.42,3.02,1.29,3.03,2.42,-0.91,2.18,2.33"
"20120602,66.01,64.89,72.23,76.94,62.08,78.59,68.86,59.91,68.50,69.48,1.31,-0.61,0.83,0.94,-1.12,0.79,0.26,0.21,0.50,0.28"
