weekEnding,year,weekno,ne,enc,c,se,wnc,s,sw,nw,w,nat,neAnom,encAnom,cAnom,seAnom,wncAnom,sAnom,swAnom,nwAnom,wAnom,natAnom
20130105,2013,1,21.96,15.75,27.13,45.08,17.32,36.94,23.87,21.17,31.17,27.34,-1.31,1.12,-2.68,-0.43,0.08,-4.43,-7.47,-7.16,-6.97,-3.38
20130112,2013,2,30.12,28.08,41.03,54.45,24,47.24,29.22,27.88,34.25,35.76,7.97,14.57,12.12,9.41,7.33,6.25,-2.31,-0.71,-4.13,5.43
20130119,2013,3,32.03,19,33.26,54.96,20.71,39.03,23.68,21.73,31.28,30.75,10.38,5.81,4.75,10.15,3.87,-2.16,-8.29,-7.4,-7.66,0.33
20130126,2013,4,13.89,5.16,24.67,44.47,20.92,47.65,37.98,28.78,42.56,31.84,-7.47,-8.47,-4.29,-0.73,3.33,5.91,5.28,-1.04,2.82,0.86
20130202,2013,5,27.31,17.9,36.48,50.31,21.81,51.14,35.47,34.62,41.52,36.34,5.52,3.03,6.55,4.53,2.83,8.33,1.68,3.78,0.85,4.33
20130209,2013,6,19.59,16.39,34.86,48.73,29.91,52.14,38.33,34.5,42.51,37.35,-3.01,-0.33,3.46,2.11,9.09,7.83,3.25,2.46,0.62,3.95
20130216,2013,7,29.23,23.42,37.07,50.52,25.78,46.07,31.74,35.72,41.24,36.2,5.4,4.58,3.92,2.79,2.99,0.17,-4.71,2.41,-1.71,1.27
20130223,2013,8,24.3,16.14,30.41,45.16,21.58,45.36,33.8,32.49,39.78,33.19,-1.25,-5.03,-4.81,-4.05,-3.29,-2.35,-4.09,-2.21,-4.19,-3.47
20130302,2013,9,32.36,23.51,33.47,48.56,27.19,43.11,33.2,35.75,43.9,35.95,4.72,-0.23,-4.07,-2.34,0.21,-6.51,-6.23,-0.39,-1.07,-2.57
20130309,2013,10,32.65,22.95,34.66,45.33,28.8,51.43,42.66,36.5,45.66,39.09,2.54,-3.59,-5.31,-7.4,-0.41,-0.18,1.63,-1.11,-0.27,-1.4
20130316,2013,11,35.29,26.18,42.04,52.89,33.06,53.62,47.28,44.59,53.49,44.1,2.7,-3.23,-0.38,-1.63,1.6,0.06,4.72,5.57,6.52,1.66
20130323,2013,12,27.43,18.91,35.27,52.28,24.58,54.5,45.25,35.82,49.77,39.77,-7.64,-13.46,-9.51,-3.84,-9.26,-0.88,1.18,-4.59,1.8,-4.6
20130330,2013,13,36.82,31.77,38.46,48.45,31.95,50.66,45.46,43.58,52.83,42.74,-0.7,-3.64,-8.57,-9.16,-4.33,-6.47,-0.18,1.82,3.76,-3.55
20130406,2013,14,36.28,32.5,44.51,56.72,40.96,56.17,51.61,49.49,54.52,48.13,-3.76,-6,-4.76,-2.34,2.15,-2.71,4.46,6.44,4.27,-0.09
20130413,2013,15,46.93,36.11,56.94,66.66,32.44,61.05,46.78,42.32,53.34,49.54,4.35,-5.48,5.5,6.13,-8.9,0.5,-1.99,-2.11,1.83,-0.62
20130420,2013,16,49.84,36.04,55.68,66.26,30.8,61.3,45.7,39.66,49.6,48.63,4.61,-8.65,2.02,4.15,-13.04,-1.08,-4.81,-6.28,-3.34,-3.56
20130427,2013,17,44.06,41.61,50.22,58.2,39.57,58.23,51.46,46.51,57.4,50.26,-3.81,-6.09,-5.64,-5.6,-6.78,-5.98,-0.97,-1,2.91,-4
20130504,2013,18,54.82,49.93,59.92,64.32,44.72,62.83,56.7,48.87,62.51,56.25,4.27,-0.71,1.87,-1.27,-4.12,-3.3,2.27,-0.38,6.3,-0.15
20130511,2013,19,58.77,53.55,60.36,64.35,52.42,64.46,56.41,60.64,59.92,59.04,5.56,0.05,0.11,-3.06,1.11,-3.61,-0.15,9.64,1.86,0.49
20130518,2013,20,52.51,57.35,63.06,67.57,60.96,71.7,65.93,56.59,65.5,63.77,-3.19,1.16,0.6,-1.63,7.26,1.72,7.16,3.96,5.74,3.11
20130525,2013,21,60.12,57.51,66.24,72.65,54.97,74.3,63.22,49.81,59.91,63.18,2.12,-1.13,1.62,1.76,-1.01,2.4,2.19,-4.43,-1.7,0.46
20130601,2013,22,62.93,61.5,69.95,73.29,57.28,77.66,65.29,52.32,63.14,65.91,2.81,0.59,3.14,0.75,-0.94,3.87,1.9,-3.42,-0.34,1.15
20130608,2013,23,61.92,55.89,65.86,75.38,57.18,74.49,70.29,61.99,72.92,66.92,-0.19,-7.08,-3.07,1.25,-3.18,-1.14,4.54,4.76,7.59,0.2
20130615,2013,24,63.02,65.06,72.54,77.95,64.13,80.39,75,59.04,69.96,71.04,-0.91,0.24,1.77,2.43,1.79,3.19,7.14,0.23,2.83,2.54
20130622,2013,25,64.6,67.78,74.01,76.62,65.36,80.57,72.53,57.88,66.74,70.88,-1.16,1.18,1.27,-0.7,2.21,1.86,2.86,-0.71,-1.8,0.97
20130629,2013,26,71.81,71.53,76.73,79.18,68.9,84.25,75.95,63.73,72.98,74.92,4.65,3.55,2.82,0.97,3.78,4.55,4.69,3.06,2.45,3.54
20130706,2013,27,74.08,69.05,71.24,77.18,71.24,77.03,77.09,73.14,81.44,74.78,5.81,0,-3.48,-1.65,4.25,-3.41,4.46,10.24,8.93,2.12
20130713,2013,28,72.67,72.11,75.81,78.49,72.13,84.04,77.41,68.16,76,76.16,3.58,2.33,0.53,-0.78,3.64,3.02,3.78,3.41,1.92,2.51
20130720,2013,29,78.14,76.18,79.67,79.75,71.83,78.57,74.64,70.8,76.68,76.16,8.57,5.98,4.03,0.2,2.36,-2.9,0.46,4.81,1.63,1.88
