Month,fever: (United States),Headache: (United States),doctor: (United States),shivering: (United States),cough: (United States)
2005-01,19,11,44,0,9
2005-02,22,11,43,0,11
2005-03,21,10,45,0,9
2005-04,26,10,44,0,8
2005-05,19,10,45,0,8
2005-06,17,10,46,0,6
2005-07,17,11,44,0,6
2005-08,16,11,44,0,6
2005-09,18,10,43,0,7
2005-10,18,10,44,0,8
2005-11,17,10,45,0,9
2005-12,17,9,42,0,10
2006-01,19,11,45,0,9
2006-02,20,11,43,0,9
2006-03,21,11,44,0,9
2006-04,20,10,44,0,7
2006-05,19,10,45,0,7
2006-06,17,10,46,0,6
2006-07,17,11,46,0,6
2006-08,16,11,44,0,6
2006-09,17,10,43,0,7
2006-10,18,10,45,0,8
2006-11,17,10,43,0,10
2006-12,18,10,43,0,10
2007-01,21,11,45,1,10
2007-02,23,11,43,1,9
2007-03,22,10,44,3,8
2007-04,19,10,45,3,7
2007-05,19,11,45,1,7
2007-06,18,11,47,1,6
2007-07,17,11,49,1,6
2007-08,17,11,46,1,6
2007-09,17,11,46,1,7
2007-10,18,12,47,1,9
2007-11,18,11,45,1,10
2007-12,17,10,44,1,10
2008-01,20,12,50,1,11
2008-02,24,12,47,1,12
2008-03,21,11,47,1,10
2008-04,20,11,50,1,8
2008-05,19,11,49,1,7
2008-06,18,11,52,1,6
2008-07,17,11,53,1,6
2008-08,16,12,49,1,6
2008-09,16,12,46,1,7
2008-10,17,12,47,1,9
2008-11,17,12,46,1,10
2008-12,17,11,46,1,11
2009-01,19,13,51,1,11
2009-02,22,13,49,1,11
2009-03,21,13,49,1,10
2009-04,20,13,48,1,9
2009-05,20,12,48,1,8
2009-06,19,13,51,1,8
2009-07,17,13,50,1,7
2009-08,17,14,50,1,7
2009-09,20,14,49,1,10
2009-10,25,14,51,1,13
2009-11,22,14,49,0,13
2009-12,18,12,49,1,11
2010-01,19,14,56,1,11
2010-02,20,14,49,1,11
2010-03,20,14,51,0,10
2010-04,19,13,55,0,9
2010-05,20,13,54,0,9
2010-06,18,13,54,0,9
2010-07,20,14,51,0,9
2010-08,19,15,50,0,9
2010-09,19,15,49,0,11
2010-10,19,15,49,0,12
2010-11,22,14,49,0,13
2010-12,20,14,48,1,14
2011-01,26,17,57,1,17
2011-02,31,17,65,1,17
2011-03,27,16,64,1,15
2011-04,24,16,65,1,13
2011-05,23,16,68,1,12
2011-06,22,16,65,1,11
2011-07,21,17,58,1,9
2011-08,20,17,62,1,9
2011-09,22,17,65,1,13
2011-10,22,17,62,1,14
2011-11,23,18,59,1,16
2011-12,22,17,59,1,16
2012-01,24,19,60,1,16
2012-02,25,19,59,0,18
2012-03,25,18,59,0,16
2012-04,25,18,57,0,16
2012-05,24,18,62,0,15
2012-06,22,18,60,0,12
2012-07,21,19,61,0,13
2012-08,21,19,66,0,13
2012-09,22,19,72,0,15
2012-10,27,19,64,0,16
2012-11,24,18,60,0,18
2012-12,28,19,65,1,21
2013-01,30,21,70,1,23
2013-02,26,20,64,0,19
2013-03,26,20,67,0,17
2013-04,25,20,72,0,15
2013-05,24,18,76,0,14
2013-06,22,19,70,0,12
2013-07,22,20,67,0,11
2013-08,21,21,77,0,11
2013-09,23,20,66,0,15
2013-10,23,20,69,0,16
2013-11,22,20,100,0,18
2013-12,26,19,81,1,20
2014-01,29,22,74,1,21
2014-02,27,21,67,1,18
2014-03,26,21,68,0,16
2014-04,26,20,67,0,16
2014-05,25,20,66,0,15
2014-06,23,20,68,0,14
2014-07,23,21,71,0,11
2014-08,23,21,83,0,11
2014-09,24,21,74,0,14
2014-10,26,22,75,0,16
2014-11,24,21,66,1,18
2014-12,30,22,65,1,24
2015-01,29,23,67,1,23
2015-02,29,22,64,1,21
2015-03,31,22,63,0,19
2015-04,28,21,63,0,17
2015-05,26,20,64,0,15
2015-06,24,22,64,0,13
2015-07,23,22,68,0,12
2015-08,24,22,71,0,12
2015-09,25,22,74,0,15
2015-10,25,22,70,0,18
2015-11,26,23,68,1,21
2015-12,28,22,69,1,23
2016-01,28,24,73,1,23
2016-02,32,24,68,1,23
2016-03,31,24,66,0,21
2016-04,27,23,68,1,17
2016-05,26,22,65,0,15
2016-06,24,22,64,0,14
2016-07,24,23,65,0,12
2016-08,23,23,69,0,13
2016-09,24,23,66,0,16
2016-10,24,23,68,0,17
