Week,fever: (United States),Headache: (United States),doctor: (United States),shivering: (United States),cough: (United States)
02-01-11,32,23,79,1,23
09-01-11,32,21,72,1,20
16-01-11,35,23,77,1,22
23-01-11,36,23,74,1,22
30-01-11,37,22,75,1,22
06-02-11,38,23,75,1,23
13-02-11,45,23,100,1,23
20-02-11,41,24,86,1,23
27-02-11,38,23,91,1,21
06-03-11,35,22,83,1,21
13-03-11,34,21,80,1,19
20-03-11,34,22,83,1,19
27-03-11,34,22,85,1,19
03-04-11,32,22,82,1,17
10-04-11,32,22,82,1,17
17-04-11,31,21,89,1,17
24-04-11,30,21,93,1,16
01-05-11,30,21,88,1,16
08-05-11,32,21,89,1,16
15-05-11,29,21,88,1,15
22-05-11,29,20,88,1,15
29-05-11,30,21,90,1,15
05-06-11,31,21,90,1,15
12-06-11,29,21,85,1,14
19-06-11,29,21,80,1,13
26-06-11,28,22,76,1,13
03-07-11,28,21,74,1,12
10-07-11,28,21,77,1,13
17-07-11,27,22,76,1,12
24-07-11,27,23,78,1,12
31-07-11,26,23,78,1,12
07-08-11,26,23,78,1,12
14-08-11,26,22,78,1,12
21-08-11,26,22,80,1,13
28-08-11,28,21,83,1,12
04-09-11,27,21,81,1,13
11-09-11,28,22,82,1,15
18-09-11,30,22,84,1,20
25-09-11,30,23,89,1,18
02-10-11,29,22,87,1,18
09-10-11,29,22,81,1,18
16-10-11,28,23,79,1,18
23-10-11,29,23,80,1,20
30-10-11,30,23,79,1,20
06-11-11,29,24,80,1,22
13-11-11,31,24,76,1,22
20-11-11,28,22,69,1,21
27-11-11,29,24,78,1,22
04-12-11,28,22,75,1,21
11-12-11,29,22,75,1,21
18-12-11,28,21,73,1,22
25-12-11,30,24,84,1,23
