Week,fever: (United States),Headache: (United States),doctor: (United States),shivering: (United States),cough: (United States)
01-01-12,32,26,82,1,24
08-01-12,32,26,82,1,22
15-01-12,31,25,78,1,22
22-01-12,32,25,78,1,22
29-01-12,33,25,79,1,22
05-02-12,34,25,79,1,23
12-02-12,33,24,76,1,23
19-02-12,35,27,80,1,29
26-02-12,34,26,79,1,25
04-03-12,37,25,78,1,23
11-03-12,35,24,77,1,22
18-03-12,33,24,79,1,21
25-03-12,32,24,76,1,19
01-04-12,33,24,76,1,22
08-04-12,34,24,76,1,22
15-04-12,34,24,77,0,21
22-04-12,33,24,77,1,21
29-04-12,32,24,77,1,20
06-05-12,31,24,77,0,22
13-05-12,32,24,83,0,21
20-05-12,34,24,85,0,20
27-05-12,32,24,83,1,18
03-06-12,31,24,82,1,17
10-06-12,31,24,81,1,17
17-06-12,30,25,81,1,16
24-06-12,29,26,79,1,16
01-07-12,28,24,75,1,15
08-07-12,29,26,82,1,16
15-07-12,28,26,81,0,20
22-07-12,28,27,82,1,20
29-07-12,28,26,86,1,18
05-08-12,27,26,85,0,16
12-08-12,28,26,87,1,16
19-08-12,29,26,89,1,18
26-08-12,29,26,96,0,18
02-09-12,30,26,100,1,19
09-09-12,30,25,92,1,20
16-09-12,30,26,96,1,21
23-09-12,30,26,93,1,21
30-09-12,30,26,95,1,22
07-10-12,31,26,85,1,21
14-10-12,52,26,84,1,21
21-10-12,36,26,85,1,22
28-10-12,30,24,80,1,21
04-11-12,31,25,77,1,21
11-11-12,32,26,82,1,25
18-11-12,31,25,75,1,25
25-11-12,32,26,83,1,26
02-12-12,34,27,83,1,26
09-12-12,35,25,81,1,26
16-12-12,36,24,79,1,28
23-12-12,42,26,97,1,35
30-12-12,41,29,95,1,35
