"","Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"1","US National","Season onset","Point","week",NA,NA,1
"2","US National","Season onset","Bin","week","40","41",2.61743718826983e-13
"3","US National","Season onset","Bin","week","41","42",1.81618247287342e-11
"4","US National","Season onset","Bin","week","42","43",8.82471798263813e-10
"5","US National","Season onset","Bin","week","43","44",3.00423815183541e-08
"6","US National","Season onset","Bin","week","44","45",7.16982313197152e-07
"7","US National","Season onset","Bin","week","45","46",1.20027894138769e-05
"8","US National","Season onset","Bin","week","46","47",0.000141032791404606
"9","US National","Season onset","Bin","week","47","48",0.00116381824766354
"10","US National","Season onset","Bin","week","48","49",0.00674885801772902
"11","US National","Season onset","Bin","week","49","50",0.0275162122454052
"12","US National","Season onset","Bin","week","50","51",0.0789156876628438
"13","US National","Season onset","Bin","week","51","52",0.159263920816952
"14","US National","Season onset","Bin","week","52","53",0.226237719502995
"15","US National","Season onset","Bin","week","1","2",0.226237719502995
"16","US National","Season onset","Bin","week","2","3",0.159263920816952
"17","US National","Season onset","Bin","week","3","4",0.0789156876628437
"18","US National","Season onset","Bin","week","4","5",0.0275162122454052
"19","US National","Season onset","Bin","week","5","6",0.00674885801772895
"20","US National","Season onset","Bin","week","6","7",0.00116381824766354
"21","US National","Season onset","Bin","week","7","8",0.000141032791404649
"22","US National","Season onset","Bin","week","8","9",1.2002789413823e-05
"23","US National","Season onset","Bin","week","9","10",7.16982313297976e-07
"24","US National","Season onset","Bin","week","10","11",3.00423814714179e-08
"25","US National","Season onset","Bin","week","11","12",8.82471762331249e-10
"26","US National","Season onset","Bin","week","12","13",1.81618053929355e-11
"27","US National","Season onset","Bin","week","13","14",2.61790589206612e-13
"28","US National","Season onset","Bin","week","14","15",2.66453525910038e-15
"29","US National","Season onset","Bin","week","15","16",0
"30","US National","Season onset","Bin","week","16","17",0
"31","US National","Season onset","Bin","week","17","18",0
"32","US National","Season onset","Bin","week","18","19",0
"33","US National","Season onset","Bin","week","19","20",0
"34","US National","Season onset","Bin","week","20","21",0
"35","US National","Season onset","Bin","week","none","none",2.65890474589492e-15
"36","US National","Season peak week","Point","week",NA,NA,3
"37","US National","Season peak week","Bin","week","40","41",2.00237201530831e-11
