"","Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"1","US National","Season onset","Point","week",NA,NA,NA
"2","US National","Season onset","Bin","week","40","41",NA
"3","US National","Season onset","Bin","week","41","42",NA
"4","US National","Season onset","Bin","week","42","43",NA
"5","US National","Season onset","Bin","week","43","44",NA
"6","US National","Season onset","Bin","week","44","45",NA
"7","US National","Season onset","Bin","week","45","46",NA
"8","US National","Season onset","Bin","week","46","47",NA
"9","US National","Season onset","Bin","week","47","48",NA
"10","US National","Season onset","Bin","week","48","49",NA
"11","US National","Season onset","Bin","week","49","50",NA
"12","US National","Season onset","Bin","week","50","51",NA
"13","US National","Season onset","Bin","week","51","52",NA
"14","US National","Season onset","Bin","week","52","53",NA
"15","US National","Season onset","Bin","week","1","2",NA
"16","US National","Season onset","Bin","week","2","3",NA
"17","US National","Season onset","Bin","week","3","4",NA
"18","US National","Season onset","Bin","week","4","5",NA
"19","US National","Season onset","Bin","week","5","6",NA
"20","US National","Season onset","Bin","week","6","7",NA
"21","US National","Season onset","Bin","week","7","8",NA
"22","US National","Season onset","Bin","week","8","9",NA
"23","US National","Season onset","Bin","week","9","10",NA
"24","US National","Season onset","Bin","week","10","11",NA
"25","US National","Season onset","Bin","week","11","12",NA
"26","US National","Season onset","Bin","week","12","13",NA
"27","US National","Season onset","Bin","week","13","14",NA
"28","US National","Season onset","Bin","week","14","15",NA
"29","US National","Season onset","Bin","week","15","16",NA
"30","US National","Season onset","Bin","week","16","17",NA
"31","US National","Season onset","Bin","week","17","18",NA
"32","US National","Season onset","Bin","week","18","19",NA
"33","US National","Season onset","Bin","week","19","20",NA
"34","US National","Season onset","Bin","week","20","21",NA
"35","US National","Season onset","Bin","week","none","none",NA
"36","US National","Season peak week","Point","week",NA,NA,NA
"37","US National","Season peak week","Bin","week","40","41",NA
"38","US National","Season peak week","Bin","week","41","42",NA
"39","US National","Season peak week","Bin","week","42","43",NA
"40","US National","Season peak week","Bin","week","43","44",NA
"41","US National","Season peak week","Bin","week","44","45",NA
"42","US National","Season peak week","Bin","week","45","46",NA
"43","US National","Season peak week","Bin","week","46","47",NA
"44","US National","Season peak week","Bin","week","47","48",NA
"45","US National","Season peak week","Bin","week","48","49",NA
"46","US National","Season peak week","Bin","week","49","50",NA
"47","US National","Season peak week","Bin","week","50","51",NA
"48","US National","Season peak week","Bin","week","51","52",NA
